Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s656a62b1,0.33899105687730763,0.22378606210499602,293.0,299,0.979933110367893
s657b9e81,-0.11264694422190166,0.1675544698380363,233.0,365,0.6383561643835617
s65ec6fce,-0.2652420672133524,0.12278372334449872,265.0,294,0.9013605442176871
s6602b9f9,0.4800444331750819,0.2809645605575854,277.0,279,0.992831541218638
s6609aca1,-0.39673979346567545,0.11382498989235812,294.0,299,0.9832775919732442
s669b97b6,1.917190920344172,0.5825673305210735,0.0,35,0.0
s66a700e9,-0.12882573887605905,0.17321839284744275,54.0,179,0.3016759776536313
s66b8ba90,0.5072873515250936,0.2822282138959527,51.0,128,0.3984375
s672e1b68,-0.11441423791519834,0.17858600824956777,280.0,309,0.9061488673139159
s67445d3c,-0.2684299338546433,0.13983034666099234,191.0,282,0.6773049645390071
s676b500c,-0.5887293900774957,0.06126277451724073,115.0,139,0.8273381294964028
s67ce25b7,-0.4104631815559558,0.09820177069446537,222.0,264,0.8409090909090909
s67ea7337,-0.36952056316246984,0.09611292153184095,196.0,264,0.7424242424242424
s68a2c9b1,-0.0766207662296667,0.13683413785224696,126.0,229,0.5502183406113537
s68d1eeb0,0.25840777864806896,0.23853970810431624,198.0,294,0.673469387755102
s68dd1946,1.1607751902476708,0.4382686012400025,181.0,279,0.6487455197132617
s69297036,0.04266839202944951,0.18434011155188917,55.0,87,0.632183908045977
s69467b60,-0.13185584979081796,0.15932088970045563,214.0,244,0.8770491803278688
s69ce06b5,0.31596880781639847,0.25656020958203185,62.0,75,0.8266666666666667
s6a23510,-0.05879738214488159,0.209993598022347,227.0,244,0.930327868852459
s6a4212f2,0.09563160598266117,0.22520724516863702,189.0,239,0.7907949790794979
s6a975d91,-0.31607475781496525,0.10851581727012383,264.0,289,0.9134948096885813
s6abc5f4f,0.10112926110256025,0.20392415557323648,283.0,299,0.9464882943143813
s6ae082a8,-0.6012248022683941,0.07142198526221352,265.0,294,0.9013605442176871
s6aeea9d9,-0.4470546740471899,0.10608914760749942,225.0,289,0.7785467128027682
s6b0d0ac3,-0.23614742525030027,0.14559272333683212,264.0,289,0.9134948096885813
s6b247ddd,-0.2377629362899424,0.1457865727550946,267.0,373,0.7158176943699732
s6c075e51,-0.2435373299931299,0.14149401369397233,247.0,289,0.8546712802768166
s6d009345,0.8486243320567964,0.35301162353374443,55.0,144,0.3819444444444444
s6d587f26,-0.23608074722885822,0.13591764046589996,195.0,279,0.6989247311827957
s6d63a382,-0.4814063317528174,0.0973489906762051,268.0,299,0.8963210702341137
s6d7d0e6,-0.2047235158667368,0.14788364107622917,202.0,254,0.7952755905511811
s6d8336b0,-0.45900214725217636,0.09565943659389892,162.0,230,0.7043478260869566
s6e533876,-0.33440234568998445,0.10979112963805396,42.0,62,0.6774193548387096
s6e6f30b1,1.1784196968151028,0.40131828577708584,37.0,40,0.925
