Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
s7985305c,30.0,289.0,294,29.0,-0.3191849970530784,0.9829931972789115
s7a56e768,28.0,283.0,314,21.0,-0.4492632565937652,0.9012738853503185
s7b3f90ca,27.0,260.0,274,21.0,1.637604961010867,0.948905109489051
s7b58139d,28.0,266.0,299,23.0,-0.22667187943651032,0.8896321070234113
s7ca67490,27.0,208.0,214,25.0,0.0818993749583952,0.9719626168224299
s7d4558c8,28.0,256.0,284,22.0,-0.2552598266505627,0.9014084507042254
s7eddc10c,27.0,262.0,289,21.0,-0.3331309198758147,0.9065743944636678
s7f832ec7,55.0,402.0,577,29.0,1.651081464943386,0.6967071057192374
s7fcdaacc,27.0,279.0,294,20.0,-0.08596020894129339,0.9489795918367347
s8180e476,44.0,388.0,464,25.0,-0.5649895338407139,0.8362068965517241
s81b96198,28.0,186.0,259,18.0,0.11080090087051035,0.7181467181467182
s831edf7c,27.0,257.0,289,20.0,-0.4755779557570837,0.889273356401384
s846ba939,28.0,285.0,299,24.0,0.080686672866175,0.9531772575250836
s84f52af8,27.0,169.0,264,18.0,-0.026806607611562623,0.6401515151515151
s853e57e8,31.0,277.0,304,23.0,0.7109592180680552,0.9111842105263158
s8592ed44,27.0,264.0,264,27.0,1.8097210345677492,1.0
s86f991c3,30.0,243.0,294,19.0,-0.3880955029856556,0.826530612244898
s87f41585,29.0,257.0,294,20.0,-0.06043250926091289,0.8741496598639455
s88ad7dea,30.0,299.0,299,30.0,-0.11200189306346095,1.0
s89460091,27.0,200.0,289,20.0,-0.46394787960772305,0.6920415224913494
s89baac6a,27.0,282.0,289,25.0,-0.4296058645895936,0.9757785467128027
s89d35b85,28.0,262.0,299,25.0,0.10088429205262266,0.8762541806020067
s8bab2682,28.0,279.0,299,24.0,-0.4269131578479555,0.9331103678929766
s8cd8831d,27.0,244.0,274,18.0,-0.21625164169250866,0.8905109489051095
s8d22fb8a,28.0,279.0,299,22.0,-0.1729368406869645,0.9331103678929766
s8d4c84e9,27.0,239.0,249,25.0,-0.4599219073675504,0.9598393574297188
s8ffeca05,29.0,221.0,269,18.0,0.5479855112770242,0.8215613382899628
s905bfac0,28.0,150.0,222,14.0,0.5176804107644399,0.6756756756756757
s90bd94fd,28.0,233.0,299,25.0,-0.3656058307752029,0.7792642140468228
s91687b96,27.0,280.0,294,23.0,-0.46167856056593515,0.9523809523809523
s91762ccb,28.0,224.0,299,14.0,-0.3706774055608374,0.7491638795986622
s92462351,28.0,278.0,299,26.0,-0.3144242979848367,0.9297658862876255
s924fe75f,28.0,209.0,259,14.0,-0.05479104583813712,0.806949806949807
s9375291a,28.0,271.0,299,23.0,-0.38029310072265,0.9063545150501672
s93f556f7,30.0,275.0,299,25.0,-0.3488729184504942,0.919732441471572
s950bbbc6,27.0,305.0,309,24.0,-0.1929130163832368,0.9870550161812298
s9587c879,28.0,272.0,299,26.0,1.7835153542894657,0.9096989966555183
s958de8cc,27.0,268.0,294,19.0,-0.4020629302637414,0.9115646258503401
s9698ce49,27.0,182.0,274,11.0,1.0985594123239046,0.6642335766423357
s974a1cf3,28.0,285.0,299,23.0,-0.5053913902875962,0.9531772575250836
s974f68fa,29.0,168.0,284,9.0,-0.47809197994514974,0.5915492957746479
s97bf5734,27.0,248.0,264,23.0,-0.1713536276145014,0.9393939393939394
s99e5736a,27.0,241.0,304,16.0,-0.46172843333858116,0.7927631578947368
s99e97439,31.0,292.0,304,27.0,2.174663565743088,0.9605263157894737
s9aba1281,27.0,255.0,289,20.0,-0.4444114139543839,0.8823529411764706
s9b4027e1,28.0,298.0,299,27.0,-0.6221510710339548,0.9966555183946488
s9b4b29a6,37.0,264.0,350,21.0,-0.30638621414664613,0.7542857142857143
